#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises;hash_produit
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Chinon;CHI;;;;;Rouge;rouge;Cabernet Franc;CBF;;1R222S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R222S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CHI/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/CBF
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Chinon;CHI;;;;;Rosé;rose;Cabernet Franc;CBF;;1S222S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S222S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CHI/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/CBF
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Blanc;blanc;Chenin;;;1B707S01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B707S01;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Blanc;blanc;Malvoisie;MALVOISIE;;1B707S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B707S;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/MALVOISIE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rouge;rouge;Gamay;;;1R707S03;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R707S03;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rouge;rouge;Cabernet;CBF;;1R707S02;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R707S02;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/CBF
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rosé;rose;Gamay;;;1S707S03;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S707S03;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rosé;rose;Cabernet;CBF;;1S707S02;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S707S02;;;%g% %a% %l% %co% %m% %ce%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COA/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/CBF
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux de Saumur;COS;;;;;Blanc;blanc;Chenin;CHE;;1B213L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B213L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COS/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du loir;CDL;;;;;Blanc;blanc;Chenin;CHE;;1B223;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B223;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CDL/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du loir;CDL;;;;;Rouge;rouge;;;;1R223S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R223S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CDL/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du loir;CDL;;;;;Rosé;rose;;;;1S223S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S223S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CDL/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Gros plant;GPL;;;;;Blanc;blanc;Folle blanche;FBL;;1B708;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B708;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/GPL/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/FBL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Gros plant;GPL;Sur lie;LIE;;;Blanc;blanc;Folle blanche;FBL;;1B708 01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B708 01;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/GPL/mentions/LIE/lieux/DEFAUT/couleurs/blanc/cepages/FBL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Jasnières;JAS;;;;;Blanc;blanc;Chenin;CHE;;1B224;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B224;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/JAS/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet Coteaux de la Loire;MUSCDL;;;;;Blanc;blanc;Melon;MEL;;1B229;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B229;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSCDL/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/MEL
